RefSeq. ID	UniProt SwissProt	Protein Name C1	C2	C3	C4	C5	C6	H1	H2	H3	H4	H5	H6	c1	c2	c3	h1	h2	h3
NP_006102	P42765	3-ketoacyl-CoA thiolase, mitochondrial	10.80025	10.01053	9.65106	10.55531	10.14565	9.87951	10.82876	10.44480	10.68039	10.84161	10.52140	10.62523	-0.20091	0.02857	0.32193	-0.73697	-0.81097	0.49570
NP_006108	O75521	Peroxisomal 3,2-trans-enoyl-CoA isomerase	11.50987	11.31887	9.67435	12.19288	11.54937	10.20203	12.10627	12.11634	12.05730	11.75405	11.74037	11.73806	-1.05889	0.01436	0.49570	-0.97143	-0.62149	0.33342
NP_006187	O19048	Poly(rC)-binding protein 1	11.40271	11.25042	11.29447	10.91630	10.52737	11.61963	10.95528	10.88331	11.05130	11.24212	10.97316	11.46503	0.23879	-0.26882	0.00000	-0.51457	-0.32193	-0.12029
NP_006280	Q9Y490	Talin-1	8.84889	8.74427	9.13511	8.15562	7.98168	9.20889	7.62404	8.00245	8.13825	8.30264	7.99299	8.28395	0.27501	0.01436	0.20163	-0.39593	0.17632	-0.49411
NP_006358	Q01518	Adenylyl cyclase-associated protein 1	10.59104	10.47016	11.09676	10.74650	10.29898	11.16283	10.77358	10.81535	10.76443	10.47850	10.62282	10.33411	-0.47393	-0.55639	-0.12029	0.54597	0.31034	0.35614
NP_006364	Q99536	Synaptic vesicle membrane protein VAT-1 homolog	10.57153	10.57849	10.48787	10.38317	10.38057	10.40565	9.90213	9.93624	9.82331	9.92197	9.89381	10.18864	-1.15200	-0.13606	-0.18442	-0.28630	0.71370	-0.13606
NP_006588	Q71U34	Heat shock cognate 71 kDa protein	12.37057	12.09238	11.52352	12.54455	11.63236	11.89713	12.79877	12.68721	12.88073	12.57575	12.73348	13.19334	-0.51457	-0.21759	0.04264	0.22651	-0.13606	0.23879
NP_006592	Q15185	Prostaglandin E synthase 3	9.44254	9.26874	9.65782	9.45659	8.55875	9.82167	9.42214	9.53242	9.13963	9.57514	9.02513	9.37423	-0.18442	0.04264	1.27501	-0.47393	-0.64386	1.38957
NP_006614	O43175	D-3-phosphoglycerate dehydrogenase	12.01734	11.33084	9.64663	11.46805	10.92411	10.65610	11.03884	11.01766	10.78017	11.36772	10.88382	10.84548	0.29866	-0.49411	0.37851	0.15056	-0.78588	0.20163
NP_006648	O95954	Formimidoyltransferase-cyclodeaminase	10.07560	9.88966	10.00629	10.11783	10.61264	10.13608	12.01977	12.35527	12.18171	12.61315	12.11788	11.66857	1.58976	0.46467	0.63227	0.15056	-1.00000	-0.15200
NP_006752	P62262	14-3-3 protein epsilon	10.10464	9.78281	10.14476	10.49098	8.80186	10.32069	10.84642	10.62918	10.33578	10.40877	10.05247	10.22262	0.76553	1.77821	0.07039	-0.76121	-0.28630	-0.21759
NP_008855	Q6PDM2	Splicing factor, arginine/serine-rich 1	8.66472	8.62970	8.63349	9.10321	8.75162	9.03412	8.98329	8.90595	8.55452	8.59078	8.42534	8.98640	0.91073	0.40054	0.92600	0.02857	0.21412	0.11103
NP_009032	Q9UL12	Sarcosine dehydrogenase, mitochondrial precursor	8.65471	7.96539	7.64076	7.87923	7.65950	7.97118	8.27137	8.16742	8.23466	8.52790	7.83533	8.10502	-0.86250	-0.35845	0.29866	-1.05889	-1.18442	-0.28630
NP_009057	P55072	Transitional endoplasmic reticulum ATPase	10.81370	10.85238	10.55499	10.67258	10.53742	11.10459	10.42872	10.35614	10.52476	10.52445	10.46719	10.70071	0.16350	-0.28630	-0.13606	0.23879	0.17632	-0.43440
NP_036226	P30044	Peroxiredoxin-5, mitochondrial precursor	11.72031	11.85137	11.33747	11.50844	11.87441	12.17415	11.69704	11.66480	12.10513	12.05249	12.06642	11.80356	0.04264	-0.41504	0.07039	-0.28630	-0.26882	0.41143
NP_036322	O75891	10-formyltetrahydrofolate dehydrogenase	10.40899	10.30292	9.41511	9.82310	10.12589	9.90620	9.18809	9.36724	9.11187	9.82622	9.47915	9.09387	0.37851	-0.86250	-0.53533	0.86394	0.73118	0.33342
NP_054752	P38892	Hypothetical 33.8 kDa protein in TWT1-FLO5 intergenic region	11.69079	11.75598	10.62282	10.67337	11.61618	11.05535	11.75653	11.66465	11.59926	11.66174	11.49369	11.48909	1.32769	0.57531	1.12433	-0.59946	-0.23447	-0.35845
NP_055049	Q92506	Estradiol 17-beta-dehydrogenase 8	11.58942	11.39047	11.08666	11.63512	11.71782	11.93361	11.38364	11.23934	11.53227	11.69449	11.55546	11.50710	-0.73697	0.02857	0.48543	-0.13606	-0.34008	0.34483
NP_056991	P28838	Cytosol aminopeptidase	12.75105	12.29186	11.81066	12.50251	12.27884	12.38013	11.76465	11.67439	11.74283	11.65901	11.26221	10.73703	-0.43440	-0.53533	-0.47393	1.44890	0.45418	1.90689
NP_057152	Q9Y3D6	Mitochondrial fission 1 protein	10.64223	10.49946	9.77079	10.24629	10.35235	10.69145	10.41299	10.25556	10.47614	10.56536	10.60369	10.32226	-1.39593	-1.08927	-0.43440	0.01436	0.11103	-0.71312
NP_057370	Q7Z4W1	L-xylulose reductase	13.21171	13.39240	12.58342	13.61857	13.57177	13.16396	13.87870	13.90479	13.96303	14.16350	14.06086	14.39578	3.14893	0.95606	0.16350	-0.43440	-0.88897	-0.57777
NP_060979	Q96AG4	Leucine-rich repeat-containing protein 59	7.92236	7.78052	7.75721	7.97284	7.74467	8.20479	7.88072	7.76345	7.98774	7.97558	8.14243	8.22123	-0.86250	0.05658	-0.21759	-0.32193	-0.21759	0.55582
NP_066284	Q9BTZ2	Dehydrogenase/reductase SDR family member 4	11.17919	11.46487	9.93496	11.13455	10.89072	10.79378	9.48466	9.65822	9.70979	9.94571	9.90265	10.26567	-0.78588	-0.23447	0.91839	1.09761	1.14405	1.91456
NP_066299	Q5R844	Myosin light polypeptide 6	11.14951	10.91705	11.25271	11.05873	11.32911	11.10064	10.98516	10.88710	11.18588	11.17776	11.10459	11.09342	-0.15200	0.72247	0.63227	-0.47393	-0.08927	-0.39593
NP_066953	P62941	Peptidyl-prolyl cis-trans isomerase A	11.86680	12.03092	11.78673	12.24313	12.18900	11.79722	11.93831	11.89933	12.06561	12.15384	12.06449	12.50751	-0.23447	-0.43440	-0.04394	0.59455	0.96347	0.28688
NP_072090	P19059	2-hydroxymuconic semialdehyde dehydrogenase	11.81333	12.24219	12.51444	11.89798	11.56299	11.23591	12.36816	12.35021	12.52444	12.48902	12.53392	12.49749	1.21412	-0.04394	-0.55639	-0.91594	-1.25154	-0.59946
NP_079034	Q9BSE5	Agmatinase, mitochondrial precursor	9.62219	9.43718	9.04702	9.57701	9.43260	9.35135	9.08509	8.87239	8.93329	9.16432	8.58278	8.90494	0.12433	0.60407	0.64155	-0.51457	-0.88897	0.13750
NP_115679	P14802	Hypothetical oxidoreductase yoxD	9.10660	8.65124	7.48437	8.93351	7.52600	8.23121	9.08464	8.88733	8.39598	8.74477	8.85802	8.58065	-0.18442	0.38957	0.49570	-0.51457	-0.18442	0.21412
NP_570602	P04217	Alpha-1B-glycoprotein precursor	14.23502	14.16780	13.99542	14.18578	14.32174	14.31198	13.92624	14.03061	14.10060	14.01266	14.03566	13.75110	0.37851	0.13750	-0.05889	0.65992	0.11103	0.37851
XP_371848	Q9P1F3	Protein C6orf115	9.05040	9.01926	9.31608	8.11016	8.49783	8.81445	9.21286	8.80783	9.49595	9.63856	8.92874	7.02539	0.40054	-0.47393	-0.21759	1.19535	0.78241	-0.71312
